"@timestamp",response,"error_message","x-stream-client","operation_type","error_code",product
"Jun 15, 2025 @ 00:20:19.075",400,"{""code"":4,""message"":""QueryChannels failed with error: \""invalid cid value, did you pass a channel id instead of channel cid?\"""",""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-android-6.15.10|os=Android 12|api_version=31|device_model=samsung SM-G973U1|offline_enabled=true|app=Pdb|app_version=2.82.0",QueryChannels,4,chat
"Jun 15, 2025 @ 00:20:19.069",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: 8ce8136f-761f-4a6f-b9be-51fb30b54a0f\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:19.067",404,"{""code"":16,""message"":""UpdateUsers failed with error: \""user FL--UK--51480 was deactivated\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-php-client-2.11.1",UpdateUsers,16,chat
"Jun 15, 2025 @ 00:20:19.061",403,"{""code"":70,""message"":""QueryChannels failed with error: \""29 channels match your query but cannot be returned because you don't have access to them. Did you forget to include {members: $in: [\""2577938\""]}?\"""",""StatusCode"":403,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-react-native-ios-5.44.3",QueryChannels,70,chat
"Jun 15, 2025 @ 00:20:19.051",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 163426925 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","-",UnreadCounts,16,chat
"Jun 15, 2025 @ 00:20:19.043",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: c39fb4b7-31ba-4fe9-9926-716f3bc4cc88\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:19.042",400,"{""code"":4,""message"":""UpdateChannel failed with error: \""add_members[0].user_id is not a valid user id. a-z, 0-9, @, _ and - are allowed.\"""",""exception_fields"":{""add_members[0].user_id"":""add_members[0].user_id is not a valid user id. a-z, 0-9, @, _ and - are allowed.""},""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-ruby-client-3.0.0",UpdateChannel,4,chat
"Jun 15, 2025 @ 00:20:19.025",400,"{""code"":4,""message"":""GetOrCreateChannel failed with error: \""Cannot create a channel with a '!' in the ID, this is a reserved character.\"""",""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-android-compose-6.9.0|os=Android 14|api_version=34|device_vendor=Google|device_model=Pixel 5|offline_enabled=true",GetOrCreateChannel,4,chat
"Jun 15, 2025 @ 00:20:19.008",400,"{""code"":18,""message"":""SendEvent failed with error: \""Channel messaging:4d117e40-d446-41cd-a4d5-4f5a34286a1b does not support events of type typing.stop\"""",""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-uikit-client-v4.72.0|app=GameChanger|app_version=2025.12.0|os=iOS 18.5|device_model=iPhone11,6|device_screen_ratio=3.00",SendEvent,18,chat
"Jun 15, 2025 @ 00:20:18.989",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: f705b7f4-7863-4a6c-b91b-e35186eb4244\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.986",403,"{""code"":17,""message"":""GetOrCreateChannel failed with error: \""channel \""ride_messaging:0196c2e9-79c7-7e24-aa34-4ebe99046ef2_1-96a480e544e93b3c950049633\"" is disabled\"""",""StatusCode"":403,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-android-6.4.3|os=Android 14|api_version=34|device_vendor=motorola|device_model=moto g84 5G|offline_enabled=true",GetOrCreateChannel,17,chat
"Jun 15, 2025 @ 00:20:18.985",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: b795a3ec-b0f4-4b60-8419-7a80ce6016da\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.977",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 120561897 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","-",UnreadCounts,16,chat
"Jun 15, 2025 @ 00:20:18.971",403,"{""code"":17,""message"":""UpdateChannel failed with error: \""User 'email-66da55c8d30432de7b783b79' with roles ['user', 'channel_member'] is not allowed to perform action UpdateChannelMembers in scope 'messaging'\"""",""StatusCode"":403,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[],""unrecoverable"":true}","stream-chat-js-v8.60.0-browser",UpdateChannel,17,chat
"Jun 15, 2025 @ 00:20:18.918",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: d467a73f-77f4-4d4a-975a-dd5642b33c99\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.898",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: 2962da41-ab1e-4811-8658-78693330ed0a\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.887",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 1-93a581b017ea6a6195554f6667f3292ea6816a1131c7d39617272c3812c504602dfd807476e07850f713bf77d330476c3dafe4dd does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-java-client-1.29.0",UnreadCounts,16,chat
"Jun 15, 2025 @ 00:20:18.885",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 1-93a581b017ea6a6195554f6667f3292ea6816a1131c7d39617272c3812c504602dfd807476e07850f713bf77d330476c3dafe4dd does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-java-client-1.29.0",UnreadCounts,16,chat
"Jun 15, 2025 @ 00:20:18.882",403,"{""code"":17,""message"":""UpdateChannel failed with error: \""User '9220E776053DD932' with role 'user' is not allowed to perform action RemoveOwnChannelMembership in scope 'open_general'\"""",""StatusCode"":403,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[],""unrecoverable"":true}","stream-chat-unity-client-5.2.0|os=Windows 10  (10.0.19045) 64bit|platform=WindowsPlayer|engine=Unity|engine_version=2021.3.42f1|screen_size=2560x1440|memory_size=31779|graphics_memory_size=8176",UpdateChannel,17,chat
"Jun 15, 2025 @ 00:20:18.881",403,"{""code"":17,""message"":""UpdateChannel failed with error: \""User '9220E776053DD932' with role 'user' is not allowed to perform action RemoveOwnChannelMembership in scope 'open_general'\"""",""StatusCode"":403,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[],""unrecoverable"":true}","stream-chat-unity-client-5.2.0|os=Windows 10  (10.0.19045) 64bit|platform=WindowsPlayer|engine=Unity|engine_version=2021.3.42f1|screen_size=2560x1440|memory_size=31779|graphics_memory_size=8176",UpdateChannel,17,chat
"Jun 15, 2025 @ 00:20:18.871",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: dfce28d1-2c41-45f1-a750-a29393556d1e\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.857",400,"{""code"":4,""message"":""UpdateChannel failed with error: \""add_members[0].user_id is not a valid user id. a-z, 0-9, @, _ and - are allowed.\"""",""exception_fields"":{""add_members[0].user_id"":""add_members[0].user_id is not a valid user id. a-z, 0-9, @, _ and - are allowed.""},""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-ruby-client-3.0.0",UpdateChannel,4,chat
"Jun 15, 2025 @ 00:20:18.849",400,"{""code"":4,""message"":""QueryChannels failed with error: \""invalid cid value, did you pass a channel id instead of channel cid?\"""",""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-android-6.15.10|os=Android 15|api_version=35|device_model=samsung SM-A366B|offline_enabled=true|app=Pdb|app_version=2.82.0",QueryChannels,4,chat
"Jun 15, 2025 @ 00:20:18.846",400,"{""code"":18,""message"":""SendEvent failed with error: \""Channel messaging:3365bda5-cc3e-46f4-af7d-6246629bbbc6 does not support events of type typing.stop\"""",""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-uikit-client-v4.72.0|app=GameChanger|app_version=2025.12.0|os=iOS 18.5|device_model=iPhone13,3|device_screen_ratio=3.00",SendEvent,18,chat
"Jun 15, 2025 @ 00:20:18.838",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: 64e0902e589964000100ce34\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.830",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 1-94a4d7e712bb30379552196732f32928a2d26a1160c2d1964e7a2c3740cc0c3127fbd0216aaea7ea8d3215e9774a3ce39646c216 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-java-client-1.29.0",UnreadCounts,16,chat
"Jun 15, 2025 @ 00:20:18.824",403,"{""code"":70,""message"":""QueryChannels failed with error: \""29 channels match your query but cannot be returned because you don't have access to them. Did you forget to include {members: $in: [\""3004188\""]}?\"""",""StatusCode"":403,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-react-native-ios-5.44.3",QueryChannels,70,chat
"Jun 15, 2025 @ 00:20:18.819",400,"{""code"":18,""message"":""SendEvent failed with error: \""Channel messaging:54e6c3b5-8324-4ea3-9f0b-5d355f9eca12 does not support events of type typing.stop\"""",""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-uikit-client-v4.72.0|app=GameChanger|app_version=2025.10.0|os=iOS 18.5|device_model=iPhone14,7|device_screen_ratio=3.00",SendEvent,18,chat
"Jun 15, 2025 @ 00:20:18.813",404,"{""code"":16,""message"":""DeleteUser failed with error: \""Couldn't find user with id A07B5C245CC847A70A495EB8@AdobeID\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-php-client-2.11.1",DeleteUser,16,chat
"Jun 15, 2025 @ 00:20:18.813",404,"{""code"":16,""message"":""DeleteUser failed with error: \""Couldn't find user with id A07B5C245CC847A70A495EB8@AdobeID\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-php-client-2.11.1",DeleteUser,16,chat
"Jun 15, 2025 @ 00:20:18.807",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: ea5b682b-2014-4e0f-b09e-06dcb146d6a2\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.802",400,"{""code"":4,""message"":""CreateDevice failed with error: \""push provider \""frontuGetStream\"" with type \""firebase\"" not found, available push providers for this application: type: \""firebase\"" name: \""Frontu\""\"""",""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-android-6.0.11|os=Android 15|api_version=35|device_vendor=samsung|device_model=SM-S911B|offline_enabled=true",CreateDevice,4,chat
"Jun 15, 2025 @ 00:20:18.799",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 1-c7a3d0e743b9383495574c6e60f32c2da6d16a1265c1d5961f732f3e45c9056f29a9d576d3031d6fca86572d1edc5dc891d587ba does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-java-client-1.29.0",UnreadCounts,16,chat
"Jun 15, 2025 @ 00:20:18.791",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 119206709 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","-",UnreadCounts,16,chat
"Jun 15, 2025 @ 00:20:18.791",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 1-c6f087b340b23d369506496737f3297ef2d36a1262c583964d7b2d6f149e0c3628fcd5749780473e13cb739848f9629162338700 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-java-client-1.29.0",UnreadCounts,16,chat
"Jun 15, 2025 @ 00:20:18.775",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: 215e6f32-1ed1-4ec6-aaf5-d70a1c4a4f03\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.772",403,"{""code"":17,""message"":""GetOrCreateChannel failed with error: \""channel \""ride_messaging:01967782-9dfd-77bf-b9b2-68205dd91c32_1-96a2d2e047e93134955049616\"" is disabled\"""",""StatusCode"":403,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-android-6.4.3|os=Android 11|api_version=30|device_vendor=Xiaomi|device_model=M2102J20SG|offline_enabled=true",GetOrCreateChannel,17,chat
"Jun 15, 2025 @ 00:20:18.763",400,"{""code"":4,""message"":""QueryChannels failed with error: \""Watch or ChatPresence requires an active websocket connection, please make sure to include your websocket connection_id\"""",""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-react-native-v6.6.7-llc-v8.60.0|os=ios 18.4.1",QueryChannels,4,chat
"Jun 15, 2025 @ 00:20:18.761",400,"{""code"":4,""message"":""UpdateChannel failed with error: \""add_members[0].user_id is not a valid user id. a-z, 0-9, @, _ and - are allowed.\"""",""exception_fields"":{""add_members[0].user_id"":""add_members[0].user_id is not a valid user id. a-z, 0-9, @, _ and - are allowed.""},""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-ruby-client-3.0.0",UpdateChannel,4,chat
"Jun 15, 2025 @ 00:20:18.749",400,"{""code"":4,""message"":""UpdateChannel failed with error: \""add_members[0].user_id is not a valid user id. a-z, 0-9, @, _ and - are allowed.\"""",""exception_fields"":{""add_members[0].user_id"":""add_members[0].user_id is not a valid user id. a-z, 0-9, @, _ and - are allowed.""},""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-ruby-client-3.0.0",UpdateChannel,4,chat
