"@timestamp",response,"error_message","x-stream-client","operation_type","error_code",product
"Jun 15, 2025 @ 00:20:18.736",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 42MBhaHMrnZuwyBJ6k1xc does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-javascript-client-node-8.45.2",UnreadCounts,16,chat
"Jun 15, 2025 @ 00:20:18.730",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: 645f663f66960a00010036e9\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.714",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: dfbfa613-3b0e-4d61-904b-b95b3f76e0d9\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.713",403,"{""code"":17,""message"":""GetOrCreateChannel failed with error: \""channel \""ride_messaging:0196bb4e-b223-7bdd-956d-59b5ddc5d2f7_1-96a480e544e93b3c950049633\"" is disabled\"""",""StatusCode"":403,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-android-6.4.3|os=Android 14|api_version=34|device_vendor=motorola|device_model=moto g84 5G|offline_enabled=true",GetOrCreateChannel,17,chat
"Jun 15, 2025 @ 00:20:18.698",404,"{""code"":16,""message"":""DeleteUser failed with error: \""Couldn't find user with id A06A39455E3C3F8D0A495FDE@AdobeID\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-php-client-2.11.1",DeleteUser,16,chat
"Jun 15, 2025 @ 00:20:18.698",404,"{""code"":16,""message"":""DeleteUser failed with error: \""Couldn't find user with id A06A39455E3C3F8D0A495FDE@AdobeID\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-php-client-2.11.1",DeleteUser,16,chat
"Jun 15, 2025 @ 00:20:18.696",404,"{""code"":16,""message"":""DeleteDevice failed with error: \""user K2joEgLVcOfEnv0WEV45AWXXwxX2 does not have device with id eEdUOXOUfQA:APA91bGVkD6DpXNKK-f6tkphBZLXmIj9wIZDIyZZN1XltljBOdsiHm9lEcHR_pHKtRFFh6Uw0UTfGegSoDYSHFESD4xwu8bshlEsb8TZDhLZcb0iQYrklmI\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-javascript-client-node-8.40.9",DeleteDevice,16,chat
"Jun 15, 2025 @ 00:20:18.688",400,"{""code"":4,""message"":""UpdateChannel failed with error: \""add_members[0].user_id is not a valid user id. a-z, 0-9, @, _ and - are allowed.\"""",""exception_fields"":{""add_members[0].user_id"":""add_members[0].user_id is not a valid user id. a-z, 0-9, @, _ and - are allowed.""},""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-ruby-client-3.0.0",UpdateChannel,4,chat
"Jun 15, 2025 @ 00:20:18.686",403,"{""code"":17,""message"":""GetOrCreateChannel failed with error: \""channel \""ride_messaging:0196fed8-07dd-791c-b110-a21f03137173_1-91f2d5e012bc303495061e356\"" is disabled\"""",""StatusCode"":403,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-android-6.4.3|os=Android 15|api_version=35|device_vendor=samsung|device_model=SM-S918U1|offline_enabled=true",GetOrCreateChannel,17,chat
"Jun 15, 2025 @ 00:20:18.678",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 1-c6f1d5b443ea69309506196e63f3297ef2d66a4a6194d0964d207e6b109f006229a98920c01b59623a83d598fed2b62317cae14d does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-java-client-1.29.0",UnreadCounts,16,chat
"Jun 15, 2025 @ 00:20:18.673",400,"{""code"":4,""message"":""UpdateChannel failed with error: \""add_members[0].user_id is not a valid user id. a-z, 0-9, @, _ and - are allowed.\"""",""exception_fields"":{""add_members[0].user_id"":""add_members[0].user_id is not a valid user id. a-z, 0-9, @, _ and - are allowed.""},""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-ruby-client-3.0.0",UpdateChannel,4,chat
"Jun 15, 2025 @ 00:20:18.672",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 1-94f5d0e347bd6b679501186231f3292ba5d66a4b3097dc961b252d3c12c506322dff847bb2b371ec89cf466fed80c01d8499e271 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-java-client-1.29.0",UnreadCounts,16,chat
"Jun 15, 2025 @ 00:20:18.665",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: bd5efcac-ba46-4782-8474-340f6f9ab9a6\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.639",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 1-90f782b540ea3b659557196531f32925a2d46a4b6597d796197228394fcd05632fabd726e2893ad4bb9f5353c2e1e260cc8c59ad does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-java-client-1.29.0",UnreadCounts,16,chat
"Jun 15, 2025 @ 00:20:18.637",400,"{""code"":4,""message"":""UpdateUsersPartial failed with error: \""users is a required field\"""",""exception_fields"":{""users"":""users is a required field""},""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,4,chat
"Jun 15, 2025 @ 00:20:18.634",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 1-90a684b213b96e34955d48656df32c2da6df6a1265c1d5961f7328394e9e51337cf885217b7de829f697d00cea91cfd1c2bf7687 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-java-client-1.29.0",UnreadCounts,16,chat
"Jun 15, 2025 @ 00:20:18.634",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: 926a6473-36a8-4737-bc7c-0c31579f786f\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.621",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""user 175493602 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-python-client-4.24.0",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.617",400,"{""code"":4,""message"":""UpdateChannel failed with error: \""add_members[0].user_id is not a valid user id. a-z, 0-9, @, _ and - are allowed.\"""",""exception_fields"":{""add_members[0].user_id"":""add_members[0].user_id is not a valid user id. a-z, 0-9, @, _ and - are allowed.""},""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-ruby-client-3.0.0",UpdateChannel,4,chat
"Jun 15, 2025 @ 00:20:18.590",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: 4ff0f565-695f-490d-98e4-1991f88778bf\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.587",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: 6a5ef3f6-82b6-46c6-8aa3-0d6b2ef610d7\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.585",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 1-c3ac87e813b23f6195074c3231f3292da0df6a1262c9dc961b222e6b419c06312cae8420d77bef59a37716db8c4eff5b5d7b2ba4 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-java-client-1.29.0",UnreadCounts,16,chat
"Jun 15, 2025 @ 00:20:18.565",400,"{""code"":4,""message"":""CreateDevice failed with error: \""push provider \""firebase\"" with type \""firebase\"" not found, available push providers for this application: type: \""firebase\"" name: \""hoop-prod\""\"""",""StatusCode"":400,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-android-compose-6.4.3|os=Android 10|api_version=29|device_vendor=samsung|device_model=SM-A107F|offline_enabled=true",CreateDevice,4,chat
"Jun 15, 2025 @ 00:20:18.545",403,"{""code"":70,""message"":""QueryChannels failed with error: \""29 channels match your query but cannot be returned because you don't have access to them. Did you forget to include {members: $in: [\""2101308\""]}?\"""",""StatusCode"":403,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-react-native-ios-5.44.3",QueryChannels,70,chat
"Jun 15, 2025 @ 00:20:18.541",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: 646f13fd2e42b50001001140\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.540",404,"{""code"":16,""message"":""UpdateUsersPartial failed with error: \""target ID not found: 61c27817d254ff0043013e1f\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","stream-chat-js-v8.57.6-node",UpdateUsersPartial,16,chat
"Jun 15, 2025 @ 00:20:18.534",404,"{""code"":16,""message"":""UnreadCounts failed with error: \""the user 132864237 does not exist\"""",""StatusCode"":404,""duration"":""0.00ms"",""more_info"":""https://getstream.io/chat/docs/api_errors_response"",""details"":[]}","-",UnreadCounts,16,chat
